max_degree,mean_degree,median_degree,nodes
3,3.0,3.0,2
6,4.5,4.5,2
7,6.0,6.0,2
4,4.0,4.0,2
24,13.0,12.0,12
4,2.3333333333333335,2.0,3
5,4.5,4.5,2
11,7.0,6.0,3
6,5.0,5.0,3
5,3.3333333333333335,4.0,3
7,4.5,4.5,2
5,5.0,5.0,2
4,3.0,3.0,2
9,6.75,7.5,4
14,7.166666666666667,5.5,6
20,6.6,4.0,5
3,2.0,2.0,2
9,7.0,7.0,3
13,9.0,9.0,4
7,5.333333333333333,5.0,3
5,3.5,3.5,2
8,5.0,6.0,3
9,7.0,7.0,2
6,5.5,5.5,2
6,4.0,4.0,2
5,4.0,4.0,2
4,4.0,4.0,2
4,3.0,3.0,2
4,4.0,4.0,2
12,8.666666666666666,7.0,3
6,5.0,5.0,2
6,5.0,5.0,2
4,3.5,3.5,2
8,5.0,5.0,3
5,4.5,4.5,2
11,7.75,7.0,4
16,10.333333333333334,8.0,3
19,8.6,6.0,5
10,5.666666666666667,4.0,3
10,5.666666666666667,4.0,3
8,4.0,2.0,3
1160,37.09560362875087,18.0,1433
3,2.5,2.5,2
7,5.0,5.0,2
11,4.75,3.0,4
2,2.0,2.0,2
4,4.0,4.0,2
70,28.3,26.5,40
4,4.0,4.0,2
9,5.666666666666667,5.0,3
3,2.5,2.5,2
4,3.5,3.5,2
9,7.75,8.0,4
10,7.75,9.0,4
3,3.0,3.0,2
8,5.333333333333333,4.0,3
4,3.6666666666666665,4.0,3
4,4.0,4.0,2
420,27.268551236749115,16.0,283
6,5.0,5.0,2
6,4.5,4.5,2
3,2.0,2.0,2
7,4.0,3.0,3
3,3.0,3.0,2
4,3.3333333333333335,4.0,3
3,2.5,2.5,2
4,3.0,3.0,2
5,4.0,4.0,2
11,5.333333333333333,3.0,3
25,16.4,16.0,5
7,5.5,5.5,4
6,5.0,5.0,2
15,10.0,9.0,3
8,6.0,6.0,2
3,3.0,3.0,2
5,4.0,4.0,2
8,6.0,6.0,2
6,4.0,4.0,2
4,4.0,4.0,2
10,8.25,8.5,4
6,4.333333333333333,4.0,3
4,4.0,4.0,2
28,16.666666666666668,18.5,12
10,7.666666666666667,9.0,3
6,4.5,4.5,2
2,1.5,1.5,2
3,2.5,2.5,2
12,6.666666666666667,5.5,6
12,5.75,4.0,4
11,6.5,6.5,4
4,4.0,4.0,2
4,3.5,3.5,2
4,4.0,4.0,2
27,9.2,5.0,5
11,5.0,2.0,3
23,18.7,18.5,10
19,12.8,12.0,5
10,6.0,6.0,2
8,4.333333333333333,3.0,3
5,3.5,3.5,2
4,3.5,3.5,2
6,5.5,5.5,2
13,9.5,9.5,4
4,4.0,4.0,2
11,7.25,7.0,4
4,3.5,3.5,2
6,5.5,5.5,2
4,3.0,3.0,2
3,2.5,2.5,2
5,4.0,4.0,2
5,3.5,3.5,2
4,3.25,4.0,4
5,4.0,4.0,2
3,2.5,2.5,2
8,5.0,5.0,2
12,9.0,10.5,4
22,7.5,3.0,4
9,3.75,2.0,4
6,4.0,4.0,2
3,2.5,2.5,2
4,3.5,3.5,2
12,9.5,9.0,4
3,2.5,2.5,2
6,5.5,5.5,2
6,4.0,4.0,2
4,3.0,3.0,2
7,4.333333333333333,4.0,3
16,7.25,5.5,4
4,3.0,3.0,2
8,6.5,6.5,2
4,3.0,3.0,2
2,2.0,2.0,2
7,5.5,5.5,4
3,3.0,3.0,2
2,2.0,2.0,2
10,7.666666666666667,7.0,3
5,5.0,5.0,2
21,15.75,16.5,4
11,9.333333333333334,9.0,3
2,1.5,1.5,2
9,6.333333333333333,5.0,3
9,6.333333333333333,7.0,3
2,2.0,2.0,2
7,5.5,5.5,2
2,2.0,2.0,2
7,4.333333333333333,3.0,3
16,10.333333333333334,9.0,3
4,3.0,3.0,2
5,4.0,4.0,2
7,5.25,5.0,4
4,2.6666666666666665,2.0,3
8,4.25,3.5,4
30,13.5,11.5,8
5,5.0,5.0,2
17,12.0,12.0,4
6,5.5,5.5,2
4,3.0,3.0,2
5,3.5,3.5,2
4,4.0,4.0,3
6,4.5,4.5,2
8,6.333333333333333,6.0,3
7,5.5,5.5,4
2,1.5,1.5,2
4,3.0,3.0,2
7,5.0,5.0,2
17,10.2,10.0,5
10,7.0,7.0,3
5,5.0,5.0,2
5,3.75,3.5,4
4,4.0,4.0,2
4,2.3333333333333335,2.0,3
9,6.333333333333333,7.0,3
5,4.0,4.0,2
3,2.0,2.0,3
7,6.0,6.0,2
8,6.333333333333333,6.0,3
5,5.0,5.0,2
6,4.0,4.0,2
4,3.5,3.5,2
5,4.0,4.0,2
28,16.88888888888889,18.0,9
4,3.5,3.5,2
2,2.0,2.0,2
4,4.0,4.0,2
13,9.333333333333334,11.0,3
3,2.5,2.5,2
13,8.0,8.0,2
5,4.0,4.0,2
9,4.666666666666667,3.0,3
2,2.0,2.0,2
5,4.0,4.0,2
4,4.0,4.0,2
5,4.0,4.0,2
3,2.5,2.5,2
9,6.666666666666667,7.0,3
7,3.6666666666666665,2.0,3
2,2.0,2.0,2
13,7.0,5.0,5
7,5.333333333333333,5.0,3
5,4.5,4.5,2
7,6.0,6.0,2
6,4.5,4.5,2
3,2.5,2.5,2
3,2.5,2.5,2
3,3.0,3.0,2
3,2.5,2.5,2
6,5.0,5.0,2
11,5.0,4.0,6
